AGGH,Honiara International Airport
K6R3,Cleveland Municipal Airport
K6R6,Terrell County Airport
K6S0,Big Timber Airport
K6S2,Florence Municipal Airport
K6S5,Ravalli County Airport
K6S8,Laurel Municipal Airport
K74V,Roosevelt Municipal Airport
K77S,Hobby Field
K79J,South Alabama Regional At Bill Benton Field Airport
K79S,Fort Benton Airport
K7L2,Linton Municipal Airport
K7S0,Ronan Airport
K7S1,Twin Bridges Airport
K7S6,White Sulphur Springs Airport
K7W6,Hyde County Airport
K82C,Mauston New Lisbon Union Airport
K82V,Pine Bluffs Municipal Airport
K8A0,Albertville Regional Airport/Thomas J Brumlik Field
K8A3,Livingston Municipal Airport
K8B0,Steven A. Bean Municipal Airport
K8D3,Sisseton Municipal Airport
K8W2,New Market Airport
K9A5,Barwick Lafayette Airport
K9D7,Cando Municipal Airport
K9L2,Edwards Af Aux North Base Airport
K9V9,Chamberlain Municipal Airport
KA08,Vaiden Field
KA39,Ak-Chin Regional Airport
KAAA,Logan County Airport
KAAF,Apalachicola Regional Airport
KAAO,Colonel James Jabara Airport
KAAS,Taylor County Airport
KAAT,Alturas Municipal Airport
KABE,Lehigh Valley International Airport
KABI,Abilene Regional Airport
KABQ,Albuquerque International Sunport
KABR,Aberdeen Regional Airport
KABY,Southwest Georgia Regional Airport
KACB,Antrim County Airport
KACJ,Jimmy Carter Regional Airport
KACK,Nantucket Memorial Airport
KACP,Allen Parish Airport
KACQ,Waseca Municipal Airport
KACT,Waco Regional Airport
KACV,California Redwood Coast-Humboldt County Airport
KACY,Atlantic City International Airport
KADC,Wadena Municipal Airport
KADG,Lenawee County Airport
KADH,Ada Regional Airport
KADM,Ardmore Municipal Airport
KADS,Addison Airport
KADU,Audubon County Airport
KADW,Joint Base Andrews
KAEG,Double Eagle II Airport
KAEJ,Central Colorado Regional Airport
